date,phase,energy,title,estimated_minutes,tasks,resource_refs
2026-06-03,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-03,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-03,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-04,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-04,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-04,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-05,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-05,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-05,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-06,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-06,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-06,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-07,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-07,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-07,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-08,Soft Ramp,Red,Soft Ramp — Red,15,10 min mental math|Read today's task list|Stop,"TraderMath,Zetamac"
2026-06-08,Soft Ramp,Yellow,Soft Ramp — Yellow,25,10 min mental math|1 easy probability question|Log any mistake|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-08,Soft Ramp,Green,Soft Ramp — Green,35,15 min mental math|2 easy probability questions|Explain 1 solution aloud|Stop,"QuantGuide Trader 75,Jane Street Probability & Markets"
2026-06-09,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-09,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-09,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-10,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-10,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-10,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-11,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-11,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-11,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-12,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-12,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-12,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-13,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-13,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-13,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-14,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-14,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-14,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-15,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-15,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
2026-06-15,Foundations,Green,Foundations — Green,50,15 min mental math|3 probability questions|1 counting/combinatorics drill|Explain 1 solution aloud|Log mistakes|Stop,"QuantGuide Trader 75,QuantQuestions"
2026-06-16,Foundations,Red,Foundations — Red,15,10 min mental math|Review 1 previous error|Stop,TraderMath
2026-06-16,Foundations,Yellow,Foundations — Yellow,35,10 min mental math|2 probability questions|Explain 1 solution aloud|Log mistakes|Stop,QuantQuestions
